Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.312000,TraderOne,Insert,3,B,1,3412.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.312000,TraderOne,Insert,4,S,1,3414.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.312000,ExampleTwo,Insert,1,B,1,3408.00,GFD,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.312000,ExampleTwo,Insert,2,S,1,3409.00,GFD,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.312000,ExampleTwo,Fill,2,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3411.32,0,-1,-0.68,0.68,0.68,0,1
0.312000,ExampleTwo,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,TraderOne,Tick,,,,,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,ExampleOne,Insert,3,S,1,3409.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,ExampleOne,Fill,3,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3414.14,1,-2,-0.86,1.36,0.86,0,2
0.500000,ExampleOne,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.500000,TraderOne,Cancel,3,B,-1,3412.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,TraderOne,Cancel,4,S,-1,3414.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,TraderOne,Insert,5,B,1,3408.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,TraderOne,Insert,6,S,1,3409.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,TraderOne,Fill,6,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3414.14,1,-2,-0.86,1.36,0.86,0,2
0.500000,TraderOne,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.500000,TraderOne,Cancel,5,B,-1,3408.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.500000,TraderOne,Insert,7,B,1,3412.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.500000,TraderOne,Insert,8,S,1,3414.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.500000,ExampleTwo,Cancel,1,B,-1,3408.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,ExampleTwo,Insert,3,B,1,3409.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,ExampleTwo,Insert,4,S,1,3410.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.500000,ExampleTwo,Fill,4,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3414.14,1,-2,-0.86,1.36,0.86,0,2
0.500000,ExampleTwo,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,TraderOne,Tick,,,,,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,ExampleTwo,Cancel,3,B,-1,3409.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,ExampleTwo,Insert,5,B,1,3410.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,ExampleTwo,Insert,6,S,1,3411.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,TraderOne,Fill,7,B,-1,3412.00,GFD,-0.34,3409.00,3412.00,-3406.02,2,-1,-0.02,1.02,0.86,1,2
0.750000,TraderOne,Hedge,,S,1,3408.50,,0.00,3409.00,3412.00,2.48,1,-1,-0.52,1.02,0.86,1,2
0.750000,ExampleTwo,Fill,6,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3416.96,2,-3,-1.04,2.04,1.04,0,3
0.750000,ExampleTwo,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,8.46,3,-3,-0.54,2.04,1.04,0,3
0.750000,ExampleOne,Insert,4,S,1,3409.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.750000,ExampleOne,Fill,4,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3416.96,2,-3,-1.04,2.04,1.04,0,3
0.750000,ExampleOne,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,8.46,3,-3,-0.54,2.04,1.04,0,3
0.750000,TraderOne,Cancel,8,S,-1,3414.00,GFD,0.00,3409.00,3412.00,2.48,1,-1,-0.52,1.02,0.86,1,2
1.000000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,TraderOne,Tick,,,,,,0.00,3409.00,3412.00,2.48,1,-1,-0.52,1.02,0.86,1,2
1.000000,ExampleOne,Cancel,1,B,-1,3408.00,GFD,0.00,3409.00,3412.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,ExampleOne,Insert,5,B,1,3409.00,GFD,0.00,3409.00,3412.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,ExampleOne,Insert,6,S,1,3410.00,GFD,0.00,3409.00,3412.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,ExampleOne,Fill,6,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3420.78,3,-4,-4.22,2.72,4.22,0,4
1.000000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,11.28,4,-4,-4.72,2.72,4.72,0,4
1.000000,TraderOne,Insert,9,B,1,3409.00,GFD,0.00,3409.00,3413.00,2.48,1,-1,-0.52,1.02,0.86,1,2
1.000000,TraderOne,Insert,10,S,1,3410.00,GFD,0.00,3409.00,3413.00,2.48,1,-1,-0.52,1.02,0.86,1,2
1.000000,TraderOne,Fill,10,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3414.80,1,-2,-2.20,1.70,2.20,1,3
1.000000,TraderOne,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,5.30,2,-2,-2.70,1.70,2.70,1,3
1.000000,TraderOne,Cancel,9,B,-1,3409.00,GFD,0.00,3409.00,3413.00,5.30,2,-2,-2.70,1.70,2.70,1,3
1.000000,TraderOne,Breach,,,,,,0.00,3409.00,3413.00,5.30,2,-2,-2.70,1.70,2.70,1,3
1.000000,ExampleTwo,Cancel,5,B,-1,3410.00,GFD,0.00,3409.00,3413.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,ExampleTwo,Insert,7,B,1,3412.00,GFD,0.00,3409.00,3413.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,ExampleTwo,Insert,8,S,1,3413.00,GFD,0.00,3409.00,3413.00,8.46,3,-3,-0.54,2.04,1.04,0,3
1.000000,ExampleTwo,Fill,8,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3420.78,3,-4,-4.22,2.72,4.22,0,4
1.000000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,11.28,4,-4,-4.72,2.72,4.72,0,4
1.000000,TraderOne,Disconnect,,,,,,0.00,3409.00,3413.00,5.30,2,-2,-2.70,1.70,2.70,1,3
1.250000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,11.28,4,-4,-0.72,2.72,4.72,0,4
1.250000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,11.28,4,-4,-0.72,2.72,4.72,0,4
1.250000,TraderOne,Tick,,,,,,0.00,3409.00,3412.00,5.30,2,-2,-0.70,1.70,2.70,1,3
1.250000,ExampleOne,Insert,7,S,1,3410.00,GFD,0.00,3409.00,3412.00,11.28,4,-4,-0.72,2.72,4.72,0,4
1.250000,ExampleOne,Fill,7,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3422.60,4,-5,-1.40,3.40,4.72,0,5
1.250000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,13.10,5,-5,-1.90,3.40,4.72,0,5
1.250000,ExampleTwo,Cancel,7,B,-1,3412.00,GFD,0.00,3409.00,3412.00,11.28,4,-4,-0.72,2.72,4.72,0,4
1.250000,ExampleTwo,Insert,9,B,1,3413.00,GFD,0.00,3409.00,3412.00,11.28,4,-4,-0.72,2.72,4.72,0,4
1.250000,ExampleTwo,Insert,10,S,1,3414.00,GFD,0.00,3409.00,3412.00,11.28,4,-4,-0.72,2.72,4.72,0,4
1.385473,ExampleTwo,Fill,10,S,-1,3414.00,GFD,-0.34,3409.00,3414.00,3425.62,4,-5,-8.38,2.38,8.38,0,5
1.385473,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3414.00,16.12,5,-5,-8.88,2.38,8.88,0,5
1.500000,ExampleOne,Tick,,,,,,0.00,3409.00,3414.00,13.10,5,-5,-11.90,3.40,11.90,0,5
1.500000,ExampleTwo,Tick,,,,,,0.00,3409.00,3414.00,16.12,5,-5,-8.88,2.38,8.88,0,5
1.500000,TraderOne,Tick,,,,,,0.00,3409.00,3414.00,5.30,2,-2,-4.70,1.70,4.70,1,3
1.515000,ExampleOne,Insert,8,S,1,3410.00,GFD,0.00,3409.00,3414.00,13.10,5,-5,-11.90,3.40,11.90,0,5
1.515000,ExampleOne,Fill,8,S,-1,3414.00,GFD,0.68,3409.00,3414.00,3426.42,5,-6,-12.58,4.08,12.58,0,6
1.515000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3414.00,16.92,6,-6,-13.08,4.08,13.08,0,6
1.515000,ExampleTwo,Cancel,9,B,-1,3413.00,GFD,0.00,3409.00,3414.00,16.12,5,-5,-8.88,2.38,8.88,0,5
1.515000,ExampleTwo,Insert,11,B,1,3414.00,GFD,0.00,3409.00,3414.00,16.12,5,-5,-8.88,2.38,8.88,0,5
1.515000,ExampleTwo,Insert,12,S,1,3415.00,GFD,0.00,3409.00,3414.00,16.12,5,-5,-8.88,2.38,8.88,0,5
1.672179,ExampleTwo,Fill,11,B,-1,3414.00,GFD,-0.34,3409.00,3414.00,-3397.54,5,-4,-8.54,2.04,8.88,1,5
1.672179,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3409.00,3414.00,11.96,4,-4,-8.04,2.04,8.88,1,5
1.750000,ExampleOne,Tick,,,,,,0.00,3409.00,3415.00,16.92,6,-6,-19.08,4.08,19.08,0,6
1.750000,ExampleTwo,Tick,,,,,,0.00,3409.00,3415.00,11.96,4,-4,-12.04,2.04,12.04,1,5
1.750000,TraderOne,Tick,,,,,,0.00,3409.00,3415.00,5.30,2,-2,-6.70,1.70,6.70,1,3
1.750000,ExampleOne,Insert,9,S,1,3410.00,GFD,0.00,3409.00,3415.00,16.92,6,-6,-19.08,4.08,19.08,0,6
1.750000,ExampleOne,Fill,9,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3428.24,6,-7,-1.76,4.76,19.08,0,7
1.750000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,18.74,7,-7,-2.26,4.76,19.08,0,7
1.750000,ExampleTwo,Cancel,12,S,-1,3415.00,GFD,0.00,3409.00,3412.00,11.96,4,-4,-12.04,2.04,12.04,1,5
1.750000,ExampleTwo,Insert,13,B,1,3413.00,GFD,0.00,3409.00,3412.00,11.96,4,-4,-12.04,2.04,12.04,1,5
1.750000,ExampleTwo,Insert,14,S,1,3414.00,GFD,0.00,3409.00,3412.00,11.96,4,-4,-12.04,2.04,12.04,1,5
1.844495,ExampleTwo,Fill,13,B,-1,3413.00,GFD,-0.34,3410.00,3413.00,-3400.70,4,-3,0.30,1.70,12.04,2,5
1.844495,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3413.00,8.80,3,-3,-0.20,1.70,12.04,2,5
2.000000,ExampleOne,Tick,,,,,,0.00,3410.00,3412.00,18.74,7,-7,4.74,4.76,19.08,0,7
2.000000,ExampleTwo,Tick,,,,,,0.00,3410.00,3412.00,8.80,3,-3,2.80,1.70,12.04,2,5
2.000000,TraderOne,Tick,,,,,,0.00,3410.00,3412.00,5.30,2,-2,1.30,1.70,6.70,1,3
2.000000,ExampleOne,Insert,10,S,1,3410.00,GFD,0.00,3410.00,3412.00,18.74,7,-7,4.74,4.76,19.08,0,7
2.000000,ExampleTwo,Cancel,14,S,-1,3414.00,GFD,0.00,3410.00,3412.00,8.80,3,-3,2.80,1.70,12.04,2,5
2.000000,ExampleTwo,Insert,15,B,1,3412.00,GFD,0.00,3410.00,3412.00,8.80,3,-3,2.80,1.70,12.04,2,5
2.000000,ExampleOne,Fill,10,S,-1,3410.00,GFD,-0.34,3410.00,3410.00,3429.08,7,-8,19.08,4.42,19.08,0,8
2.000000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3410.00,19.58,8,-8,19.58,4.42,19.08,0,8
2.000000,ExampleTwo,Fill,15,B,-1,3410.00,GFD,0.68,3410.00,3410.00,-3401.88,3,-2,8.12,2.38,12.04,3,5
2.000000,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3410.00,7.62,2,-2,7.62,2.38,12.04,3,5
2.000000,ExampleTwo,Insert,16,S,1,3413.00,GFD,0.00,3410.00,3410.00,7.62,2,-2,7.62,2.38,12.04,3,5
2.190568,ExampleOne,Fill,5,B,-1,3409.00,GFD,-0.34,3410.00,3409.00,-3389.08,8,-7,27.92,4.08,19.08,1,8
2.190568,ExampleOne,Hedge,,S,1,3409.50,,0.00,3410.00,3409.00,20.42,7,-7,27.42,4.08,19.08,1,8
2.227025,ExampleTwo,Fill,16,S,-1,3413.00,GFD,-0.34,3410.00,3413.00,3420.96,2,-3,1.96,2.04,12.04,3,6
2.227025,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,11.46,3,-3,2.46,2.04,12.04,3,6
2.250000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,20.42,7,-7,-0.58,4.08,28.50,1,8
2.250000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,11.46,3,-3,2.46,2.04,12.04,3,6
2.250000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,5.30,2,-2,-0.70,1.70,6.70,1,3
2.250000,ExampleOne,Insert,11,B,1,3409.00,GFD,0.00,3410.00,3413.00,20.42,7,-7,-0.58,4.08,28.50,1,8
2.250000,ExampleOne,Insert,12,S,1,3410.00,GFD,0.00,3410.00,3413.00,20.42,7,-7,-0.58,4.08,28.50,1,8
2.250000,ExampleOne,Fill,12,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3432.74,7,-8,-1.26,4.76,29.18,1,9
2.250000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,23.24,8,-8,-0.76,4.76,29.18,1,9
2.250000,ExampleTwo,Insert,17,B,1,3412.00,GFD,0.00,3410.00,3413.00,11.46,3,-3,2.46,2.04,12.04,3,6
2.250000,ExampleTwo,Insert,18,S,1,3413.00,GFD,0.00,3410.00,3413.00,11.46,3,-3,2.46,2.04,12.04,3,6
2.250000,ExampleTwo,Fill,18,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3423.78,3,-4,1.78,2.72,12.04,3,7
2.250000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,14.28,4,-4,2.28,2.72,12.04,3,7
2.500000,ExampleOne,Tick,,,,,,0.00,3410.00,3414.00,23.24,8,-8,-8.76,4.76,36.68,1,9
2.500000,ExampleTwo,Tick,,,,,,0.00,3410.00,3414.00,14.28,4,-4,-1.72,2.72,12.04,3,7
2.500000,TraderOne,Tick,,,,,,0.00,3410.00,3414.00,5.30,2,-2,-2.70,1.70,6.70,1,3
2.500000,ExampleOne,Insert,13,S,1,3410.00,GFD,0.00,3410.00,3414.00,23.24,8,-8,-8.76,4.76,36.68,1,9
2.500000,ExampleOne,Fill,13,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3435.56,8,-9,-1.44,5.44,36.68,1,10
2.500000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,26.06,9,-9,-0.94,5.44,36.68,1,10
2.500000,ExampleTwo,Cancel,17,B,-1,3412.00,GFD,0.00,3410.00,3413.00,14.28,4,-4,-1.72,2.72,12.04,3,7
2.500000,ExampleTwo,Insert,19,B,1,3413.00,GFD,0.00,3410.00,3413.00,14.28,4,-4,-1.72,2.72,12.04,3,7
2.500000,ExampleTwo,Insert,20,S,1,3414.00,GFD,0.00,3410.00,3413.00,14.28,4,-4,-1.72,2.72,12.04,3,7
2.750000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,26.06,9,-9,-0.94,5.44,36.68,1,10
2.750000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,14.28,4,-4,2.28,2.72,12.04,3,7
2.750000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,5.30,2,-2,-0.70,1.70,6.70,1,3
2.750000,ExampleOne,Insert,14,S,1,3410.00,GFD,0.00,3410.00,3413.00,26.06,9,-9,-0.94,5.44,36.68,1,10
2.750000,ExampleTwo,Fill,19,B,-1,3413.00,GFD,-0.34,3410.00,3413.00,-3398.38,4,-3,2.62,2.38,12.04,4,7
2.750000,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3413.00,11.12,3,-3,2.12,2.38,12.04,4,7
2.750000,ExampleOne,Fill,14,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3438.38,9,-10,-1.62,6.12,36.68,1,11
2.750000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,28.88,10,-10,-1.12,6.12,36.68,1,11
3.000000,ExampleOne,Tick,,,,,,0.00,3410.00,3412.00,28.88,10,-10,8.88,6.12,36.68,1,11
3.000000,ExampleTwo,Tick,,,,,,0.00,3410.00,3412.00,11.12,3,-3,5.12,2.38,12.04,4,7
3.000000,TraderOne,Tick,,,,,,0.00,3410.00,3412.00,5.30,2,-2,1.30,1.70,6.70,1,3
3.000000,ExampleOne,Insert,15,S,1,3410.00,GFD,0.00,3410.00,3412.00,28.88,10,-10,8.88,6.12,36.68,1,11
3.000000,ExampleOne,Fill,15,S,-1,3412.00,GFD,0.68,3410.00,3412.00,3440.20,10,-11,8.20,6.80,36.68,1,12
3.000000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,30.70,11,-11,8.70,6.80,36.68,1,12
3.000000,ExampleTwo,Cancel,20,S,-1,3414.00,GFD,0.00,3410.00,3412.00,11.12,3,-3,5.12,2.38,12.04,4,7
3.000000,ExampleTwo,Insert,21,B,1,3412.00,GFD,0.00,3410.00,3412.00,11.12,3,-3,5.12,2.38,12.04,4,7
3.000000,ExampleTwo,Insert,22,S,1,3413.00,GFD,0.00,3410.00,3412.00,11.12,3,-3,5.12,2.38,12.04,4,7
3.219509,ExampleTwo,Fill,21,B,-1,3412.00,GFD,-0.34,3410.00,3412.00,-3400.54,3,-2,5.46,2.04,12.04,5,7
3.219509,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3412.00,8.96,2,-2,4.96,2.04,12.04,5,7
3.250000,ExampleOne,Tick,,,,,,0.00,3410.00,3410.00,30.70,11,-11,30.70,6.80,36.68,1,12
3.250000,ExampleTwo,Tick,,,,,,0.00,3410.00,3410.00,8.96,2,-2,8.96,2.04,12.04,5,7
3.250000,TraderOne,Tick,,,,,,0.00,3410.00,3410.00,5.30,2,-2,5.30,1.70,6.70,1,3
3.265000,ExampleTwo,Cancel,22,S,-1,3413.00,GFD,0.00,3410.00,3410.00,8.96,2,-2,8.96,2.04,12.04,5,7
3.265000,ExampleTwo,Insert,23,B,1,3411.00,GFD,0.00,3410.00,3410.00,8.96,2,-2,8.96,2.04,12.04,5,7
3.265000,ExampleOne,Insert,16,S,1,3410.00,GFD,0.00,3410.00,3410.00,30.70,11,-11,30.70,6.80,36.68,1,12
3.265000,ExampleTwo,Fill,23,B,-1,3411.00,GFD,-0.34,3410.00,3411.00,-3401.70,2,-1,7.30,1.70,12.04,6,7
3.265000,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3411.00,7.80,1,-1,6.80,1.70,12.04,6,7
3.265000,ExampleOne,Fill,16,S,-1,3411.00,GFD,0.68,3410.00,3411.00,3441.02,11,-12,19.02,7.48,36.68,1,13
3.265000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3411.00,31.52,12,-12,19.52,7.48,36.68,1,13
3.265000,ExampleTwo,Insert,24,S,1,3412.00,GFD,0.00,3410.00,3411.00,7.80,1,-1,6.80,1.70,12.04,6,7
3.274197,ExampleTwo,Fill,24,S,-1,3412.00,GFD,-0.34,3410.00,3412.00,3420.14,1,-2,6.14,1.36,12.04,6,8
3.274197,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,10.64,2,-2,6.64,1.36,12.04,6,8
3.500000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,31.52,12,-12,-4.48,7.48,36.68,1,13
3.500000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,10.64,2,-2,4.64,1.36,12.04,6,8
3.500000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,5.30,2,-2,-0.70,1.70,6.70,1,3
3.500000,ExampleOne,Insert,17,S,1,3410.00,GFD,0.00,3410.00,3413.00,31.52,12,-12,-4.48,7.48,36.68,1,13
3.500000,ExampleOne,Fill,17,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3443.84,12,-13,-5.16,8.16,36.68,1,14
3.500000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,34.34,13,-13,-4.66,8.16,36.68,1,14
3.500000,ExampleTwo,Insert,25,B,1,3411.00,GFD,0.00,3410.00,3413.00,10.64,2,-2,4.64,1.36,12.04,6,8
3.500000,ExampleTwo,Insert,26,S,1,3412.00,GFD,0.00,3410.00,3413.00,10.64,2,-2,4.64,1.36,12.04,6,8
3.500000,ExampleTwo,Fill,26,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3422.96,2,-3,3.96,2.04,12.04,6,9
3.500000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,13.46,3,-3,4.46,2.04,12.04,6,9
3.750000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,34.34,13,-13,-4.66,8.16,36.68,1,14
3.750000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,13.46,3,-3,4.46,2.04,12.04,6,9
3.750000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,5.30,2,-2,-0.70,1.70,6.70,1,3
3.750000,ExampleOne,Insert,18,S,1,3410.00,GFD,0.00,3410.00,3413.00,34.34,13,-13,-4.66,8.16,36.68,1,14
3.750000,ExampleOne,Fill,18,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3446.66,13,-14,-5.34,8.84,36.68,1,15
3.750000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,37.16,14,-14,-4.84,8.84,36.68,1,15
3.750000,ExampleTwo,Cancel,25,B,-1,3411.00,GFD,0.00,3410.00,3413.00,13.46,3,-3,4.46,2.04,12.04,6,9
3.750000,ExampleTwo,Insert,27,B,1,3412.00,GFD,0.00,3410.00,3413.00,13.46,3,-3,4.46,2.04,12.04,6,9
3.750000,ExampleTwo,Insert,28,S,1,3413.00,GFD,0.00,3410.00,3413.00,13.46,3,-3,4.46,2.04,12.04,6,9
3.750000,ExampleTwo,Fill,28,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3425.78,3,-4,3.78,2.72,12.04,6,10
3.750000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,16.28,4,-4,4.28,2.72,12.04,6,10
4.000000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,37.16,14,-14,-4.84,8.84,36.68,1,15
4.000000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,16.28,4,-4,4.28,2.72,12.04,6,10
4.000000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,5.30,2,-2,-0.70,1.70,6.70,1,3
4.000000,ExampleOne,Insert,19,S,1,3410.00,GFD,0.00,3410.00,3413.00,37.16,14,-14,-4.84,8.84,36.68,1,15
4.000000,ExampleOne,Fill,19,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3449.48,14,-15,-5.52,9.52,36.68,1,16
4.000000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,39.98,15,-15,-5.02,9.52,36.68,1,16
